Date,BLL,DISH,DVA,NEM,UDR,VFC
1/28/2013,21.33608246,37.50999832,56.82500076,36.01286697,18.19539452,28.2754631
1/29/2013,21.39161873,37.93999863,57.49000168,36.49224854,18.36496925,28.14336014
1/30/2013,21.25740242,37.65999985,57.43999863,36.26517105,18.10692215,27.90214539
1/31/2013,20.60482025,37.25999832,57.70500183,36.1306076,17.61296463,28.2544117
2/1/2013,21.10003662,37.68000031,58.36000061,36.76137161,17.50974846,28.30993462
2/4/2013,20.80383492,36.65999985,57.44499969,37.08937454,17.25171471,28.14911652
2/5/2013,21.0769043,37.20000076,58.29000092,37.28282166,17.30332565,28.47650146
2/6/2013,20.97970581,37.0,59.09999847,37.87995148,17.40653801,28.95894623
2/7/2013,20.92417145,37.13999939,59.46500015,38.05656815,17.18536377,29.46247101
2/8/2013,20.99359131,37.63999939,59.45999908,37.78743744,17.39916229,29.29783058
2/11/2013,20.8917675,37.11000061,59.40000153,37.41739273,17.55399323,29.11785507
2/12/2013,20.77606392,37.65999985,59.21500015,38.08179855,17.81940079,29.230819699999998
2/13/2013,20.91954041,37.27999878,59.36999893,37.72013855,17.91523743,29.16189384
2/14/2013,20.92417145,36.84000015,59.60499954,37.46783447,17.92998314,29.25569725
2/15/2013,21.0769043,36.93000031,58.72999954,36.391326899999996,18.02582741,30.22635269
2/19/2013,20.86862564,36.09000015,57.95000076,36.08013916,18.34284401,31.27933502
2/20/2013,20.60945702,36.02999878,58.09000015,34.11212921,18.39445496,30.71456337
2/21/2013,20.3919239,35.04000092,57.79999924,34.10372543,18.25437546,30.43504715
2/22/2013,20.5215168,35.09000015,58.02500153,34.33081055,18.31335831,30.35272408
2/25/2013,20.114229199999997,34.84999847,57.71500015,34.44855118,17.98159409,30.15935707
2/26/2013,20.27621841,35.13999939,58.11000061,34.85224152,17.94472694,30.25507355
2/27/2013,20.56866455,34.86999893,59.13499832,34.16259384,17.885745999999994,30.79688835
2/28/2013,20.61507988,34.79999924,59.81000137,33.88505936,17.59084892,30.87347221
3/1/2013,20.52688789,34.70000076,60.01499939,33.32157516,17.67194176,30.76433945
3/4/2013,20.42012024,34.59000015,60.90499878,32.80012894,17.74566841,31.28317261
3/5/2013,20.51295853,34.70999908,61.67499924,32.4637146,17.94472694,31.447830199999995
3/6/2013,20.55009079,34.18999863,60.97499847,33.64956665,18.00370789,31.40547943
3/7/2013,20.63829422,34.43999863,59.45500183,33.58230972,18.00370789,31.2765255
3/8/2013,20.81932831,34.45000076,59.36000061,33.01039886,18.03320122,31.33811951
3/11/2013,20.90753937,34.95000076,59.20000076,33.06565094,17.97422218,31.13217354
3/12/2013,20.93073654,35.02000046,58.68000031,33.72033691,17.90049362,31.35351563
